Code commune;Libellé commune;Libellé région;Libellé typologie;Population municipale 2016
01298;Plagne;Auvergne-Rhône-Alpes;Communes très peu denses;123
01299;Le Plantay;Auvergne-Rhône-Alpes;Communes peu denses;553
01301;Polliat;Auvergne-Rhône-Alpes;Communes peu denses;2 504
01302;Pollieu;Auvergne-Rhône-Alpes;Communes très peu denses;161
01303;Poncin;Auvergne-Rhône-Alpes;Communes peu denses;1 696
01304;Pont-d'Ain;Auvergne-Rhône-Alpes;Communes peu denses;2 914
01305;Pont-de-Vaux;Auvergne-Rhône-Alpes;Communes peu denses;2 290
01306;Pont-de-Veyle;Auvergne-Rhône-Alpes;Communes peu denses;1 618
01307;Port;Auvergne-Rhône-Alpes;Communes peu denses;855
01308;Pougny;Auvergne-Rhône-Alpes;Communes peu denses;815
01309;Pouillat;Auvergne-Rhône-Alpes;Communes très peu denses;90
01310;Prémeyzel;Auvergne-Rhône-Alpes;Communes très peu denses;247
01311;Prémillieu;Auvergne-Rhône-Alpes;Communes très peu denses;46
01313;Prévessin-Moëns;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;7 991
01314;Priay;Auvergne-Rhône-Alpes;Communes peu denses;1 707
01317;Ramasse;Auvergne-Rhône-Alpes;Communes peu denses;321
01318;Rancé;Auvergne-Rhône-Alpes;Communes peu denses;727
01319;Relevant;Auvergne-Rhône-Alpes;Communes peu denses;463
01320;Replonges;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;3 702
01321;Revonnas;Auvergne-Rhône-Alpes;Communes peu denses;921
01322;Reyrieux;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;4 670
01323;Reyssouze;Auvergne-Rhône-Alpes;Communes peu denses;975
01325;Rignieux-le-Franc;Auvergne-Rhône-Alpes;Communes peu denses;976
01328;Romans;Auvergne-Rhône-Alpes;Communes très peu denses;594
01329;Rossillon;Auvergne-Rhône-Alpes;Communes très peu denses;153
01330;Ruffieu;Auvergne-Rhône-Alpes;Communes très peu denses;184
01331;Saint-Alban;Auvergne-Rhône-Alpes;Communes très peu denses;179
01332;Saint-André-de-Bâgé;Auvergne-Rhône-Alpes;Communes peu denses;742
01333;Saint-André-de-Corcy;Auvergne-Rhône-Alpes;Communes peu denses;3 241
01334;Saint-André-d'Huiriat;Auvergne-Rhône-Alpes;Communes peu denses;602
01335;Saint-André-le-Bouchoux;Auvergne-Rhône-Alpes;Communes peu denses;384
01336;Saint-André-sur-Vieux-Jonc;Auvergne-Rhône-Alpes;Communes peu denses;1 126
01337;Saint-Bénigne;Auvergne-Rhône-Alpes;Communes peu denses;1 254
01338;Groslée-Saint-Benoit;Auvergne-Rhône-Alpes;Communes peu denses;1 193
01339;Saint-Bernard;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;1 434
01342;Sainte-Croix;Auvergne-Rhône-Alpes;Communes peu denses;566
01343;Saint-Cyr-sur-Menthon;Auvergne-Rhône-Alpes;Communes peu denses;1 761
01344;Saint-Denis-lès-Bourg;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;5 667
01345;Saint-Denis-en-Bugey;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;2 293
01346;Saint-Didier-d'Aussiat;Auvergne-Rhône-Alpes;Communes peu denses;879
01347;Saint-Didier-de-Formans;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;1 944
01348;Saint-Didier-sur-Chalaronne;Auvergne-Rhône-Alpes;Communes peu denses;2 832
01349;Saint-Éloi;Auvergne-Rhône-Alpes;Communes peu denses;453
01350;Saint-Étienne-du-Bois;Auvergne-Rhône-Alpes;Communes peu denses;2 490
01351;Saint-Étienne-sur-Chalaronne;Auvergne-Rhône-Alpes;Communes peu denses;1 546
01352;Saint-Étienne-sur-Reyssouze;Auvergne-Rhône-Alpes;Communes peu denses;568
01353;Sainte-Euphémie;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;1 657
01354;Saint-Genis-Pouilly;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;11 892
01355;Saint-Genis-sur-Menthon;Auvergne-Rhône-Alpes;Communes peu denses;472
01356;Saint-Georges-sur-Renon;Auvergne-Rhône-Alpes;Communes très peu denses;219
01357;Saint-Germain-de-Joux;Auvergne-Rhône-Alpes;Communes peu denses;507
01358;Saint-Germain-les-Paroisses;Auvergne-Rhône-Alpes;Communes peu denses;434
01359;Saint-Germain-sur-Renon;Auvergne-Rhône-Alpes;Communes très peu denses;235
01360;Saint-Jean-de-Gonville;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;1 720
01361;Saint-Jean-de-Niost;Auvergne-Rhône-Alpes;Communes peu denses;1 427
01362;Saint-Jean-de-Thurigneux;Auvergne-Rhône-Alpes;Communes peu denses;773
01363;Saint-Jean-le-Vieux;Auvergne-Rhône-Alpes;Communes peu denses;1 699
01364;Saint-Jean-sur-Reyssouze;Auvergne-Rhône-Alpes;Communes peu denses;737
01365;Saint-Jean-sur-Veyle;Auvergne-Rhône-Alpes;Communes peu denses;1 122
01366;Sainte-Julie;Auvergne-Rhône-Alpes;Communes peu denses;999
01367;Saint-Julien-sur-Reyssouze;Auvergne-Rhône-Alpes;Communes peu denses;698
01368;Saint-Julien-sur-Veyle;Auvergne-Rhône-Alpes;Communes peu denses;798
01369;Saint-Just;Auvergne-Rhône-Alpes;Communes peu denses;917
01370;Saint-Laurent-sur-Saône;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;1 754
01371;Saint-Marcel;Auvergne-Rhône-Alpes;Communes peu denses;1 303
01372;Saint-Martin-de-Bavel;Auvergne-Rhône-Alpes;Communes peu denses;438
01373;Saint-Martin-du-Frêne;Auvergne-Rhône-Alpes;Communes peu denses;1 063
01374;Saint-Martin-du-Mont;Auvergne-Rhône-Alpes;Communes peu denses;1 807
01375;Saint-Martin-le-Châtel;Auvergne-Rhône-Alpes;Communes peu denses;790
01376;Saint-Maurice-de-Beynost;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;3 965
01378;Saint-Maurice-de-Gourdans;Auvergne-Rhône-Alpes;Communes peu denses;2 537
01379;Saint-Maurice-de-Rémens;Auvergne-Rhône-Alpes;Communes peu denses;752
01380;Saint-Nizier-le-Bouchoux;Auvergne-Rhône-Alpes;Communes peu denses;683
01381;Saint-Nizier-le-Désert;Auvergne-Rhône-Alpes;Communes peu denses;914
01382;Sainte-Olive;Auvergne-Rhône-Alpes;Communes très peu denses;284
01383;Saint-Paul-de-Varax;Auvergne-Rhône-Alpes;Communes peu denses;1 502
01384;Saint-Rambert-en-Bugey;Auvergne-Rhône-Alpes;Communes peu denses;2 310
01385;Saint-Rémy;Auvergne-Rhône-Alpes;Communes peu denses;999
01386;Saint-Sorlin-en-Bugey;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;1 150
01387;Saint-Sulpice;Auvergne-Rhône-Alpes;Communes peu denses;247
01388;Saint-Trivier-de-Courtes;Auvergne-Rhône-Alpes;Communes peu denses;1 095
01389;Saint-Trivier-sur-Moignans;Auvergne-Rhône-Alpes;Communes peu denses;1 822
01390;Saint-Vulbas;Auvergne-Rhône-Alpes;Communes peu denses;1 306
01391;Salavre;Auvergne-Rhône-Alpes;Communes peu denses;279
01392;Samognat;Auvergne-Rhône-Alpes;Communes très peu denses;657
01393;Sandrans;Auvergne-Rhône-Alpes;Communes peu denses;526
01396;Sault-Brénaz;Auvergne-Rhône-Alpes;Communes peu denses;960
01397;Sauverny;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;1 025
01398;Savigneux;Auvergne-Rhône-Alpes;Communes peu denses;1 333
01399;Ségny;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;2 016
01400;Seillonnaz;Auvergne-Rhône-Alpes;Communes très peu denses;138
01401;Sergy;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;2 045
01402;Sermoyer;Auvergne-Rhône-Alpes;Communes peu denses;678
01403;Serrières-de-Briord;Auvergne-Rhône-Alpes;Communes peu denses;1 262
01404;Serrières-sur-Ain;Auvergne-Rhône-Alpes;Communes très peu denses;131
01405;Servas;Auvergne-Rhône-Alpes;Communes peu denses;1 241
01406;Servignat;Auvergne-Rhône-Alpes;Communes peu denses;175
01407;Seyssel;Auvergne-Rhône-Alpes;Communes peu denses;997
